flyer,pkg_no,duration_days,makkah_hotel,makkah_distance_notes,madinah_hotel,madinah_distance_notes,makkah_nights,madinah_nights,sharing_pkr,quad_pkr,triple_pkr,double_pkr,flight_groups
Saudia_15_21Days,1,15,MAIDAN AL BAIT 2,Old Araek - Shuttle Service,MAIDAN BAIT MADINA,800M - Masjid Bilal Side,5,6,241900,246000,252100,264700,"Group1 17SEP-01OCT; Group2 27SEP-11OCT"
Saudia_15_21Days,2,15,MIAD AL MAJD,750M - Hijra Road,RAHATALUBUR OLD ROSE,600M - Awali Side,5,6,250100,256400,265800,285600,"Group1 17SEP-01OCT; Group2 27SEP-11OCT"
Saudia_15_21Days,3,15,MAIDAN AL BAIT 2,Old Araek - Shuttle Service,ARGWAN MADINA,350M - Markazia,5,6,254700,262000,273600,296700,"Group1 17SEP-01OCT; Group2 27SEP-11OCT"
Saudia_15_21Days,4,15,MAIDAN AL BAIT 1,600M - Old Sami Sindhi,QAMAR TAIBA,500M,5,6,256200,264100,275700,300500,"Group1 17SEP-01OCT; Group2 27SEP-11OCT"
Saudia_15_21Days,5,15,SAIF AL MAJD,600M,QAMAR TAIBA,500M,5,6,259900,266000,278700,305300,"Group1 17SEP-01OCT; Group2 27SEP-11OCT"
Saudia_15_21Days,6,15,SAIF AL MAJD,600M,ARGWAN MADINA,350M - Markazia,5,6,268100,276000,292400,325800,"Group1 17SEP-01OCT; Group2 27SEP-11OCT"
Saudia_15_21Days,7,15,MAIDAN AL BAIT 2 EXEC.,Old Araek - Shuttle Service,MARJAN INTERNATIONAL,150M - Markazia,5,6,,271600,286200,316000,"Group1 17SEP-01OCT; Group2 27SEP-11OCT"
Saudia_15_21Days,8,15,FAJAR ALABADIH 5,550M - Ibrahim Khalil Rd,ARGWAN MADINA,350M - Markazia,5,6,272900,278400,295400,330100,"Group1 17SEP-01OCT; Group2 27SEP-11OCT"
Saudia_15_21Days,9,15,FAJAR ALABADIH 5,550M - Ibrahim Khalil Rd,MARJAN INTERNATIONAL,150M - Markazia,5,6,,284300,303200,341500,"Group1 17SEP-01OCT; Group2 27SEP-11OCT"
Saudia_15_21Days,10,15,YASMIN AL MAJD,500M - Ibrahim Khalil Rd,MARJAN INTERNATIONAL,150M - Markazia,5,6,,286200,305600,344500,"Group1 17SEP-01OCT; Group2 27SEP-11OCT"
Saudia_15_21Days,1,21,MAIDAN AL BAIT 2,Old Araek - Shuttle Service,MAIDAN BAIT MADINA,800M - Masjid Bilal Side,6,8,248000,253800,262300,279900,"Group1 18SEP-08OCT; Group2 23SEP-13OCT; Group3 26SEP-16OCT; Group4 28SEP-18OCT"
Saudia_15_21Days,2,21,MIAD AL MAJD,750M - Hijra Road,RAHATALUBUR OLD ROSE,600M - Awali Side,6,8,259900,268700,282100,310000,"Group1 18SEP-08OCT; Group2 23SEP-13OCT; Group3 26SEP-16OCT; Group4 28SEP-18OCT"
Saudia_15_21Days,3,21,MAIDAN AL BAIT 2,Old Araek - Shuttle Service,ARGWAN MADINA,350M - Markazia,6,8,265000,275100,290900,322500,"Group1 18SEP-08OCT; Group2 23SEP-13OCT; Group3 26SEP-16OCT; Group4 28SEP-18OCT"
Saudia_15_21Days,4,21,MAIDAN AL BAIT 1,600M - Old Sami Sindhi,QAMAR TAIBA,500M,6,8,268700,279900,296400,331600,"Group1 18SEP-08OCT; Group2 23SEP-13OCT; Group3 26SEP-16OCT; Group4 28SEP-18OCT"
Saudia_15_21Days,5,21,SAIF AL MAJD,600M,QAMAR TAIBA,500M,6,8,274200,282700,300900,338900,"Group1 18SEP-08OCT; Group2 23SEP-13OCT; Group3 26SEP-16OCT; Group4 28SEP-18OCT"
Saudia_15_21Days,6,21,SAIF AL MAJD,600M,ARGWAN MADINA,350M - Markazia,6,8,285100,296100,319200,366300,"Group1 18SEP-08OCT; Group2 23SEP-13OCT; Group3 26SEP-16OCT; Group4 28SEP-18OCT"
Saudia_15_21Days,7,21,MAIDAN AL BAIT 2 EXEC.,Old Araek - Shuttle Service,MARJAN INTERNATIONAL,150M - Markazia,6,8,,288500,308500,349600,"Group1 18SEP-08OCT; Group2 23SEP-13OCT; Group3 26SEP-16OCT; Group4 28SEP-18OCT"
Saudia_15_21Days,8,21,FAJAR ALABADIH 5,550M - Ibrahim Khalil Rd,ARGWAN MADINA,350M - Markazia,6,8,292400,299700,323700,372700,"Group1 18SEP-08OCT; Group2 23SEP-13OCT; Group3 26SEP-16OCT; Group4 28SEP-18OCT"
Saudia_15_21Days,9,21,FAJAR ALABADIH 5,550M - Ibrahim Khalil Rd,MARJAN INTERNATIONAL,150M - Markazia,6,8,,307600,334100,387900,"Group1 18SEP-08OCT; Group2 23SEP-13OCT; Group3 26SEP-16OCT; Group4 28SEP-18OCT"
Saudia_15_21Days,10,21,YASMIN AL MAJD,500M - Ibrahim Khalil Rd,MARJAN INTERNATIONAL,150M - Markazia,6,8,,310300,337700,392400,"Group1 18SEP-08OCT; Group2 23SEP-13OCT; Group3 26SEP-16OCT; Group4 28SEP-18OCT"
